"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration"
165,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,8,4,10",4,1,0,-5,0,"ci","10",13,47.546
166,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","1,3,5,6",4,3,0,-3,80,"ci","10",26,19.24
167,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","5,3,7,2",3,5,-1,-1,40,"ci","10",8,23.496
168,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,5",2,8,0,0,240,"ci","10",21,7.939
169,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,5,8,10,3",4,5,-1,0,240,"ci","10",3,7.489
170,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","7",1,2,0,-7,160,"ci","10",16,23.192
171,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","10,8",2,3,0,-5,160,"ci","10",29,16.303
172,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","7,4,2,9",4,5,0,-1,320,"ci","10",11,9.134
173,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,3,10,5",4,6,0,0,520,"ci","10",24,6.881
174,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","2,8,9,3",4,6,0,0,720,"ci","10",6,5.83
175,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,-5,720,"ci","10",19,4.408
176,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","9,8",2,6,0,-2,840,"ci","10",1,8.619
177,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","3,2",2,5,0,-3,920,"ci","10",14,6.043
178,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","7,2,4,10,8,9",6,3,0,-1,1080,"ci","10",27,9.227
179,"5e3db42ae01a2602b2068256","5e3ed1a4fb9ed5123bcb8fda","4,10,2,5,6,7,8",7,2,0,-1,1240,"ci","10",9,7.042
